map,encounter_method,biome,max_bst,slot_count
MAP_PETALBURG_WOODS,WILD_AREA_LAND,Forest,350,LAND_WILD_COUNT
MAP_RUSTURF_TUNNEL,WILD_AREA_LAND,Cave,550,LAND_WILD_COUNT
MAP_GRANITE_CAVE_1F,WILD_AREA_LAND,Cave,350,LAND_WILD_COUNT
MAP_GRANITE_CAVE_B1F,WILD_AREA_LAND,Cave,350,LAND_WILD_COUNT
MAP_MT_PYRE_1F,WILD_AREA_LAND,Mountain,500,LAND_WILD_COUNT
MAP_VICTORY_ROAD_1F,WILD_AREA_LAND,Cave,700,LAND_WILD_COUNT
MAP_SAFARI_ZONE_SOUTH,WILD_AREA_LAND,Marsh and Swamp,550,LAND_WILD_COUNT
MAP_UNDERWATER_ROUTE126,WILD_AREA_WATER,Ocean,600,WATER_WILD_COUNT
MAP_ABANDONED_SHIP_ROOMS_B1F,WILD_AREA_WATER,Ocean,550,WATER_WILD_COUNT
MAP_ABANDONED_SHIP_ROOMS_B1F,WILD_AREA_FISHING,Ocean,550,FISH_WILD_COUNT
MAP_GRANITE_CAVE_B2F,WILD_AREA_LAND,Cave,350,LAND_WILD_COUNT
MAP_GRANITE_CAVE_B2F,WILD_AREA_ROCKS,Cave,350,ROCK_WILD_COUNT
MAP_FIERY_PATH,WILD_AREA_LAND,Volcanic,500,LAND_WILD_COUNT
MAP_METEOR_FALLS_B1F_2R,WILD_AREA_LAND,Cave,600,LAND_WILD_COUNT
MAP_METEOR_FALLS_B1F_2R,WILD_AREA_WATER,Freshwater,600,WATER_WILD_COUNT
MAP_METEOR_FALLS_B1F_2R,WILD_AREA_FISHING,Freshwater,600,FISH_WILD_COUNT
MAP_JAGGED_PASS,WILD_AREA_LAND,Volcanic,500,LAND_WILD_COUNT
MAP_ROUTE106,WILD_AREA_WATER,Ocean,350,WATER_WILD_COUNT
MAP_ROUTE106,WILD_AREA_FISHING,Ocean,350,FISH_WILD_COUNT
MAP_ROUTE107,WILD_AREA_WATER,Ocean,350,WATER_WILD_COUNT
MAP_ROUTE107,WILD_AREA_FISHING,Ocean,350,FISH_WILD_COUNT
MAP_ROUTE108,WILD_AREA_WATER,Ocean,350,WATER_WILD_COUNT
MAP_ROUTE108,WILD_AREA_FISHING,Ocean,350,FISH_WILD_COUNT
MAP_ROUTE109,WILD_AREA_WATER,Ocean,350,WATER_WILD_COUNT
MAP_ROUTE109,WILD_AREA_FISHING,Ocean,350,FISH_WILD_COUNT
MAP_ROUTE115,WILD_AREA_LAND,Mountain,500,LAND_WILD_COUNT
MAP_ROUTE115,WILD_AREA_WATER,Freshwater,500,WATER_WILD_COUNT
MAP_ROUTE115,WILD_AREA_FISHING,Freshwater,500,FISH_WILD_COUNT
MAP_NEW_MAUVILLE_INSIDE,WILD_AREA_LAND,Grassland,550,LAND_WILD_COUNT
MAP_ROUTE119,WILD_AREA_LAND,Forest,600,LAND_WILD_COUNT
MAP_ROUTE119,WILD_AREA_WATER,Freshwater,600,WATER_WILD_COUNT
MAP_ROUTE119,WILD_AREA_FISHING,Freshwater,600,FISH_WILD_COUNT
MAP_ROUTE120,WILD_AREA_LAND,Marsh and Swamp,600,LAND_WILD_COUNT
MAP_ROUTE120,WILD_AREA_WATER,Freshwater,600,WATER_WILD_COUNT
MAP_ROUTE120,WILD_AREA_FISHING,Freshwater,600,FISH_WILD_COUNT
MAP_ROUTE121,WILD_AREA_LAND,Marsh and Swamp,600,LAND_WILD_COUNT
MAP_ROUTE121,WILD_AREA_WATER,Freshwater,600,WATER_WILD_COUNT
MAP_ROUTE121,WILD_AREA_FISHING,Freshwater,600,FISH_WILD_COUNT
MAP_ROUTE122,WILD_AREA_WATER,Freshwater,600,WATER_WILD_COUNT
MAP_ROUTE122,WILD_AREA_FISHING,Freshwater,600,FISH_WILD_COUNT
MAP_ROUTE123,WILD_AREA_LAND,Beach and Coast,600,LAND_WILD_COUNT
MAP_ROUTE123,WILD_AREA_WATER,Freshwater,600,WATER_WILD_COUNT
MAP_ROUTE123,WILD_AREA_FISHING,Freshwater,600,FISH_WILD_COUNT
MAP_MT_PYRE_2F,WILD_AREA_LAND,Mountain,500,LAND_WILD_COUNT
MAP_MT_PYRE_3F,WILD_AREA_LAND,Mountain,500,LAND_WILD_COUNT
MAP_MT_PYRE_4F,WILD_AREA_LAND,Mountain,500,LAND_WILD_COUNT
MAP_MT_PYRE_5F,WILD_AREA_LAND,Mountain,500,LAND_WILD_COUNT
MAP_MT_PYRE_6F,WILD_AREA_LAND,Mountain,500,LAND_WILD_COUNT
MAP_MT_PYRE_EXTERIOR,WILD_AREA_LAND,Mountain,500,LAND_WILD_COUNT
MAP_MT_PYRE_SUMMIT,WILD_AREA_LAND,Mountain,500,LAND_WILD_COUNT
MAP_GRANITE_CAVE_STEVENS_ROOM,WILD_AREA_LAND,Cave,350,LAND_WILD_COUNT
MAP_ROUTE125,WILD_AREA_WATER,Ocean,600,WATER_WILD_COUNT
MAP_ROUTE125,WILD_AREA_FISHING,Ocean,600,FISH_WILD_COUNT
MAP_ROUTE126,WILD_AREA_WATER,Ocean,600,WATER_WILD_COUNT
MAP_ROUTE126,WILD_AREA_FISHING,Ocean,600,FISH_WILD_COUNT
MAP_ROUTE127,WILD_AREA_WATER,Ocean,600,WATER_WILD_COUNT
MAP_ROUTE127,WILD_AREA_FISHING,Ocean,600,FISH_WILD_COUNT
MAP_ROUTE128,WILD_AREA_WATER,Ocean,700,WATER_WILD_COUNT
MAP_ROUTE128,WILD_AREA_FISHING,Ocean,700,FISH_WILD_COUNT
MAP_ROUTE129,WILD_AREA_WATER,Ocean,700,WATER_WILD_COUNT
MAP_ROUTE129,WILD_AREA_FISHING,Ocean,700,FISH_WILD_COUNT
MAP_ROUTE130,WILD_AREA_LAND,Grassland,700,LAND_WILD_COUNT
MAP_ROUTE130,WILD_AREA_WATER,Ocean,700,WATER_WILD_COUNT
MAP_ROUTE130,WILD_AREA_FISHING,Ocean,700,FISH_WILD_COUNT
MAP_ROUTE131,WILD_AREA_WATER,Ocean,700,WATER_WILD_COUNT
MAP_ROUTE131,WILD_AREA_FISHING,Ocean,700,FISH_WILD_COUNT
MAP_ROUTE132,WILD_AREA_WATER,Ocean,700,WATER_WILD_COUNT
MAP_ROUTE132,WILD_AREA_FISHING,Ocean,700,FISH_WILD_COUNT
MAP_ROUTE133,WILD_AREA_WATER,Ocean,700,WATER_WILD_COUNT
MAP_ROUTE133,WILD_AREA_FISHING,Ocean,700,FISH_WILD_COUNT
MAP_ROUTE134,WILD_AREA_WATER,Ocean,700,WATER_WILD_COUNT
MAP_ROUTE134,WILD_AREA_FISHING,Ocean,700,FISH_WILD_COUNT
MAP_ABANDONED_SHIP_HIDDEN_FLOOR_CORRIDORS,WILD_AREA_WATER,Ocean,550,WATER_WILD_COUNT
MAP_ABANDONED_SHIP_HIDDEN_FLOOR_CORRIDORS,WILD_AREA_FISHING,Ocean,550,FISH_WILD_COUNT
MAP_SEAFLOOR_CAVERN_ROOM1,WILD_AREA_LAND,Cave,700,LAND_WILD_COUNT
MAP_SEAFLOOR_CAVERN_ROOM2,WILD_AREA_LAND,Cave,700,LAND_WILD_COUNT
MAP_SEAFLOOR_CAVERN_ROOM3,WILD_AREA_LAND,Cave,700,LAND_WILD_COUNT
MAP_SEAFLOOR_CAVERN_ROOM4,WILD_AREA_LAND,Cave,700,LAND_WILD_COUNT
MAP_SEAFLOOR_CAVERN_ROOM5,WILD_AREA_LAND,Cave,700,LAND_WILD_COUNT
MAP_SEAFLOOR_CAVERN_ROOM6,WILD_AREA_LAND,Cave,700,LAND_WILD_COUNT
MAP_SEAFLOOR_CAVERN_ROOM6,WILD_AREA_WATER,Ocean,700,WATER_WILD_COUNT
MAP_SEAFLOOR_CAVERN_ROOM6,WILD_AREA_FISHING,Ocean,700,FISH_WILD_COUNT
MAP_SEAFLOOR_CAVERN_ROOM7,WILD_AREA_LAND,Cave,700,LAND_WILD_COUNT
MAP_SEAFLOOR_CAVERN_ROOM7,WILD_AREA_WATER,Ocean,700,WATER_WILD_COUNT
MAP_SEAFLOOR_CAVERN_ROOM7,WILD_AREA_FISHING,Ocean,700,FISH_WILD_COUNT
MAP_SEAFLOOR_CAVERN_ROOM8,WILD_AREA_LAND,Cave,700,LAND_WILD_COUNT
MAP_SEAFLOOR_CAVERN_ENTRANCE,WILD_AREA_WATER,Ocean,700,WATER_WILD_COUNT
MAP_SEAFLOOR_CAVERN_ENTRANCE,WILD_AREA_FISHING,Ocean,700,FISH_WILD_COUNT
MAP_CAVE_OF_ORIGIN_ENTRANCE,WILD_AREA_LAND,Cave,700,LAND_WILD_COUNT
MAP_CAVE_OF_ORIGIN_1F,WILD_AREA_LAND,Cave,700,LAND_WILD_COUNT
MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP1,WILD_AREA_LAND,Cave,700,LAND_WILD_COUNT
MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP2,WILD_AREA_LAND,Cave,700,LAND_WILD_COUNT
MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP3,WILD_AREA_LAND,Cave,700,LAND_WILD_COUNT
MAP_NEW_MAUVILLE_ENTRANCE,WILD_AREA_LAND,Grassland,550,LAND_WILD_COUNT
MAP_SAFARI_ZONE_SOUTHWEST,WILD_AREA_LAND,Marsh and Swamp,550,LAND_WILD_COUNT
MAP_SAFARI_ZONE_SOUTHWEST,WILD_AREA_WATER,Freshwater,550,WATER_WILD_COUNT
MAP_SAFARI_ZONE_SOUTHWEST,WILD_AREA_FISHING,Freshwater,550,FISH_WILD_COUNT
MAP_SAFARI_ZONE_NORTH,WILD_AREA_LAND,Marsh and Swamp,550,LAND_WILD_COUNT
MAP_SAFARI_ZONE_NORTH,WILD_AREA_ROCKS,Marsh and Swamp,550,ROCK_WILD_COUNT
MAP_SAFARI_ZONE_NORTHWEST,WILD_AREA_LAND,Marsh and Swamp,550,LAND_WILD_COUNT
MAP_SAFARI_ZONE_NORTHWEST,WILD_AREA_WATER,Freshwater,550,WATER_WILD_COUNT
MAP_SAFARI_ZONE_NORTHWEST,WILD_AREA_FISHING,Freshwater,550,FISH_WILD_COUNT
MAP_VICTORY_ROAD_B1F,WILD_AREA_LAND,Cave,700,LAND_WILD_COUNT
MAP_VICTORY_ROAD_B1F,WILD_AREA_ROCKS,Cave,700,ROCK_WILD_COUNT
MAP_VICTORY_ROAD_B2F,WILD_AREA_LAND,Cave,700,LAND_WILD_COUNT
MAP_VICTORY_ROAD_B2F,WILD_AREA_WATER,Freshwater,700,WATER_WILD_COUNT
MAP_VICTORY_ROAD_B2F,WILD_AREA_FISHING,Freshwater,700,FISH_WILD_COUNT
MAP_METEOR_FALLS_1F_1R,WILD_AREA_LAND,Cave,600,LAND_WILD_COUNT
MAP_METEOR_FALLS_1F_1R,WILD_AREA_WATER,Freshwater,600,WATER_WILD_COUNT
MAP_METEOR_FALLS_1F_1R,WILD_AREA_FISHING,Freshwater,600,FISH_WILD_COUNT
MAP_METEOR_FALLS_1F_2R,WILD_AREA_LAND,Cave,600,LAND_WILD_COUNT
MAP_METEOR_FALLS_1F_2R,WILD_AREA_WATER,Freshwater,600,WATER_WILD_COUNT
MAP_METEOR_FALLS_1F_2R,WILD_AREA_FISHING,Freshwater,600,FISH_WILD_COUNT
MAP_METEOR_FALLS_B1F_1R,WILD_AREA_LAND,Cave,600,LAND_WILD_COUNT
MAP_METEOR_FALLS_B1F_1R,WILD_AREA_WATER,Freshwater,600,WATER_WILD_COUNT
MAP_METEOR_FALLS_B1F_1R,WILD_AREA_FISHING,Freshwater,600,FISH_WILD_COUNT
MAP_SHOAL_CAVE_LOW_TIDE_STAIRS_ROOM,WILD_AREA_LAND,Cave,550,LAND_WILD_COUNT
MAP_SHOAL_CAVE_LOW_TIDE_LOWER_ROOM,WILD_AREA_LAND,Cave,550,LAND_WILD_COUNT
MAP_SHOAL_CAVE_LOW_TIDE_INNER_ROOM,WILD_AREA_LAND,Cave,550,LAND_WILD_COUNT
MAP_SHOAL_CAVE_LOW_TIDE_INNER_ROOM,WILD_AREA_WATER,Freshwater,550,WATER_WILD_COUNT
MAP_SHOAL_CAVE_LOW_TIDE_INNER_ROOM,WILD_AREA_FISHING,Freshwater,550,FISH_WILD_COUNT
MAP_SHOAL_CAVE_LOW_TIDE_ENTRANCE_ROOM,WILD_AREA_LAND,Cave,550,LAND_WILD_COUNT
MAP_SHOAL_CAVE_LOW_TIDE_ENTRANCE_ROOM,WILD_AREA_WATER,Freshwater,550,WATER_WILD_COUNT
MAP_SHOAL_CAVE_LOW_TIDE_ENTRANCE_ROOM,WILD_AREA_FISHING,Freshwater,550,FISH_WILD_COUNT
MAP_LILYCOVE_CITY,WILD_AREA_WATER,Ocean,600,WATER_WILD_COUNT
MAP_LILYCOVE_CITY,WILD_AREA_FISHING,Ocean,600,FISH_WILD_COUNT
MAP_DEWFORD_TOWN,WILD_AREA_WATER,Ocean,350,WATER_WILD_COUNT
MAP_DEWFORD_TOWN,WILD_AREA_FISHING,Ocean,350,FISH_WILD_COUNT
MAP_SLATEPORT_CITY,WILD_AREA_WATER,Ocean,550,WATER_WILD_COUNT
MAP_SLATEPORT_CITY,WILD_AREA_FISHING,Ocean,550,FISH_WILD_COUNT
MAP_MOSSDEEP_CITY,WILD_AREA_WATER,Ocean,600,WATER_WILD_COUNT
MAP_MOSSDEEP_CITY,WILD_AREA_FISHING,Ocean,600,FISH_WILD_COUNT
MAP_PACIFIDLOG_TOWN,WILD_AREA_WATER,Ocean,550,WATER_WILD_COUNT
MAP_PACIFIDLOG_TOWN,WILD_AREA_FISHING,Ocean,550,FISH_WILD_COUNT
MAP_EVER_GRANDE_CITY,WILD_AREA_WATER,Ocean,700,WATER_WILD_COUNT
MAP_EVER_GRANDE_CITY,WILD_AREA_FISHING,Ocean,700,FISH_WILD_COUNT
MAP_PETALBURG_CITY,WILD_AREA_WATER,Freshwater,350,WATER_WILD_COUNT
MAP_PETALBURG_CITY,WILD_AREA_FISHING,Freshwater,350,FISH_WILD_COUNT
MAP_UNDERWATER_ROUTE124,WILD_AREA_WATER,Ocean,600,WATER_WILD_COUNT
MAP_SHOAL_CAVE_LOW_TIDE_ICE_ROOM,WILD_AREA_LAND,Cave,550,LAND_WILD_COUNT
MAP_SKY_PILLAR_1F,WILD_AREA_LAND,Mountain,700,LAND_WILD_COUNT
MAP_SOOTOPOLIS_CITY,WILD_AREA_WATER,Ocean,600,WATER_WILD_COUNT
MAP_SOOTOPOLIS_CITY,WILD_AREA_FISHING,Ocean,600,FISH_WILD_COUNT
MAP_SKY_PILLAR_3F,WILD_AREA_LAND,Mountain,700,LAND_WILD_COUNT
MAP_SKY_PILLAR_5F,WILD_AREA_LAND,Mountain,700,LAND_WILD_COUNT
MAP_SAFARI_ZONE_SOUTHEAST,WILD_AREA_LAND,Marsh and Swamp,550,LAND_WILD_COUNT
MAP_SAFARI_ZONE_SOUTHEAST,WILD_AREA_WATER,Freshwater,550,WATER_WILD_COUNT
MAP_SAFARI_ZONE_SOUTHEAST,WILD_AREA_FISHING,Freshwater,550,FISH_WILD_COUNT
MAP_SAFARI_ZONE_NORTHEAST,WILD_AREA_LAND,Marsh and Swamp,550,LAND_WILD_COUNT
MAP_SAFARI_ZONE_NORTHEAST,WILD_AREA_ROCKS,Marsh and Swamp,550,ROCK_WILD_COUNT
MAP_MAGMA_HIDEOUT_1F,WILD_AREA_LAND,Grassland,600,LAND_WILD_COUNT
MAP_MAGMA_HIDEOUT_2F_1R,WILD_AREA_LAND,Grassland,600,LAND_WILD_COUNT
MAP_MAGMA_HIDEOUT_2F_2R,WILD_AREA_LAND,Grassland,600,LAND_WILD_COUNT
MAP_MAGMA_HIDEOUT_3F_1R,WILD_AREA_LAND,Grassland,600,LAND_WILD_COUNT
MAP_MAGMA_HIDEOUT_3F_2R,WILD_AREA_LAND,Grassland,600,LAND_WILD_COUNT
MAP_MAGMA_HIDEOUT_4F,WILD_AREA_LAND,Grassland,600,LAND_WILD_COUNT
MAP_MAGMA_HIDEOUT_3F_3R,WILD_AREA_LAND,Grassland,600,LAND_WILD_COUNT
MAP_MAGMA_HIDEOUT_2F_3R,WILD_AREA_LAND,Grassland,600,LAND_WILD_COUNT
MAP_MIRAGE_TOWER_1F,WILD_AREA_LAND,Grassland,550,LAND_WILD_COUNT
MAP_MIRAGE_TOWER_2F,WILD_AREA_LAND,Grassland,550,LAND_WILD_COUNT
MAP_MIRAGE_TOWER_3F,WILD_AREA_LAND,Grassland,550,LAND_WILD_COUNT
MAP_MIRAGE_TOWER_4F,WILD_AREA_LAND,Grassland,550,LAND_WILD_COUNT
MAP_DESERT_UNDERPASS,WILD_AREA_LAND,Desert,550,LAND_WILD_COUNT
MAP_ARTISAN_CAVE_B1F,WILD_AREA_LAND,Cave,700,LAND_WILD_COUNT
MAP_ARTISAN_CAVE_1F,WILD_AREA_LAND,Cave,700,LAND_WILD_COUNT
MAP_ALTERING_CAVE,WILD_AREA_LAND,Cave,550,LAND_WILD_COUNT
MAP_ALTERING_CAVE,WILD_AREA_LAND,Cave,550,LAND_WILD_COUNT
MAP_ALTERING_CAVE,WILD_AREA_LAND,Cave,550,LAND_WILD_COUNT
MAP_ALTERING_CAVE,WILD_AREA_LAND,Cave,550,LAND_WILD_COUNT
MAP_ALTERING_CAVE,WILD_AREA_LAND,Cave,550,LAND_WILD_COUNT
MAP_ALTERING_CAVE,WILD_AREA_LAND,Cave,550,LAND_WILD_COUNT
MAP_ALTERING_CAVE,WILD_AREA_LAND,Cave,550,LAND_WILD_COUNT
MAP_ALTERING_CAVE,WILD_AREA_LAND,Cave,550,LAND_WILD_COUNT
MAP_ALTERING_CAVE,WILD_AREA_LAND,Cave,550,LAND_WILD_COUNT
MAP_METEOR_FALLS_STEVENS_CAVE,WILD_AREA_LAND,Cave,600,LAND_WILD_COUNT
